Employee_Number,Age,Age_Group,Attrition,Business_Travel,Daily_Rate,Department,Distance_From_Home,Education,Education_Field,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Rate,Num_Companies_Worked,Over_Time,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Stock_Option_Level,Total_Working_Years,Training_Times_Last_Year,Work_Life_Balance,Years_At_Company,Years_Since_Last_Promotion,Years_With_Curr_Manager,Date_Birth,Remote_Work,Satisfaction_Group
1280,46,46-55,False,Unknown,168,Sales,4,2,Unknown,4,F,33,2,5, Manager ,2,Married,9946,2,Unknown,0.14,3,3,1,11,2,3,11,0,8,1977,True,B
2212,30,26-35,False,Non Travel,99999,Research & Development,9,2,Medical,3,F,72,3,2, Manufacturing Director ,3,Single,12858,7,True,0.18,3,3,0,10,3,3,8,1,7,1993,True,A
1309,32,26-35,True,Travel Rarely,1089,Research & Development,7,2,Life Sciences,4,M,79,3,2, Laboratory Technician ,3,Unknown,22845,1,Unknown,0.18,3,1,1,11,3,3,10,1,1,1991,True,A
2213,40,36-45,True,Unknown,299,Sales,25,4,Unknown,4,M,57,2,3, Sales Executive ,2,Single,17235,2,True,0.12,3,3,0,9,2,3,5,1,0,1983,True,B
1374,34,26-35,False,Non Travel,999,Research & Development,26,1,Unknown,1,F,92,2,1, Research Scientist ,3,Divorced,15891,1,False,0.2,4,3,3,5,2,3,5,0,0,1989,True,A
1390,39,36-45,False,Travel Rarely,1498,Sales,21,4,Unknown,1,M,44,2,2, Sales Executive ,4,Married,3567,3,Unknown,0.12,3,4,2,8,2,4,5,1,4,1984,False,A
2214,37,36-45,False,Unknown,1439,Research & Development,4,1,Unknown,3,M,54,3,1, Research Scientist ,3,Married,5182,7,True,0.15,3,4,0,8,2,3,6,1,3,1986,False,A
1395,33,26-35,False,Unknown,1111,Sales,41,1,Life Sciences,4,M,61,3,2, Sales Executive ,4,Married,19293,6,Unknown,0.13,3,1,0,8,2,4,5,1,2,1990,True,A
1397,39,36-45,False,Non Travel,1485,Research & Development,25,2,Unknown,3,M,71,3,3, Healthcare Representative ,3,Unknown,3449,3,False,0.21,4,2,1,13,2,3,6,0,5,1984,False,A
1409,52,46-55,False,Travel Rarely,258,Research & Development,8,4,Other,3,F,54,3,1, Laboratory Technician ,1,Married,17363,9,False,0.13,3,3,0,12,2,1,5,0,4,1971,True,B
1425,36,36-45,False,Unknown,1174,Sales,3,4,Unknown,1,F,99,3,2, Sales Executive ,2,Single,20763,3,True,0.16,3,4,0,15,3,3,5,0,1,1987,True,B
1435,36,36-45,False,Unknown,172,Research & Development,47,4,Life Sciences,4,M,99999,2,2, Laboratory Technician ,4,Single,22604,1,Unknown,0.16,3,3,0,10,2,2,10,1,8,1987,True,A
1445,24,18-25,False,Travel Rarely,99999,Sales,4,1,Unknown,4,F,42,3,2, Sales Executive ,3,Married,15211,1,True,0.12,3,3,2,11,3,3,5,0,3,1999,True,A
2215,34,26-35,False,Travel Rarely,401,Research & Development,1,3,Life Sciences,4,F,86,2,1, Laboratory Technician ,2,Unknown,3708,5,False,0.17,3,1,1,7,2,2,5,0,2,1989,False,B
1469,28,26-35,False,Unknown,866,Sales,5,3,Unknown,4,M,99999,3,2, Sales Executive ,1,Single,23490,0,Unknown,0.18,3,4,0,11,4,3,5,1,3,1995,True,B
2216,33,26-35,False,Travel Rarely,1099,Research & Development,4,4,Medical,1,F,82,2,1, Laboratory Technician ,2,Unknown,8192,8,False,0.11,3,4,0,8,5,3,5,0,2,1990,True,B
1503,47,46-55,False,Travel Rarely,571,Sales,14,3,Medical,3,F,99999,3,2, Sales Executive ,3,Married,24200,3,Unknown,0.17,3,3,1,11,4,2,5,1,2,1976,True,A
1534,40,36-45,True,Unknown,676,Research & Development,9,4,Life Sciences,4,M,86,3,1, Laboratory Technician ,1,Single,21831,3,Unknown,0.14,3,2,0,15,3,1,5,1,0,1983,False,B
1546,45,36-45,False,Travel Rarely,950,Research & Development,49,3,Technical Degree,4,M,97,3,1, Research Scientist ,4,Married,4585,4,False,0.2,4,4,1,11,3,3,5,0,3,1978,True,A
1548,40,36-45,False,Travel Rarely,1342,Sales,9,2,Unknown,1,M,47,3,2, Sales Executive ,1,Unknown,19345,0,Unknown,0.12,3,4,0,11,5,4,8,7,1,1983,True,B
2217,29,26-35,False,Unknown,995,Research & Development,2,1,Life Sciences,1,M,87,3,2, Healthcare Representative ,4,Unknown,24483,1,Unknown,0.19,3,4,1,6,0,4,6,1,3,1994,True,A
1598,40,36-45,False,Unknown,118,Sales,14,2,Life Sciences,4,F,84,3,2, Sales Executive ,1,Married,11262,1,False,0.15,3,3,1,5,2,3,5,1,2,1983,True,B
1599,43,36-45,False,Unknown,990,Research & Development,27,3,Unknown,4,M,87,4,1, Laboratory Technician ,2,Divorced,5855,5,Unknown,0.12,3,3,1,11,0,3,6,0,2,1980,False,B
1609,30,26-35,False,Unknown,241,Research & Development,7,3,Unknown,2,M,48,2,1, Research Scientist ,2,Unknown,5348,1,False,0.12,3,2,1,6,3,2,6,1,1,1993,True,B
1638,38,36-45,False,Unknown,99999,Research & Development,2,2,Unknown,4,F,54,2,3, Manufacturing Director ,3,Unknown,14199,3,Unknown,0.19,3,4,1,10,6,4,5,0,2,1985,True,A
1640,37,36-45,False,Travel Rarely,1470,Research & Development,10,3,Unknown,2,F,71,3,1, Research Scientist ,2,Married,9953,1,Unknown,0.11,3,1,1,8,2,1,8,7,7,1986,False,B
2218,39,36-45,False,Travel Rarely,492,Research & Development,12,3,Medical,4,M,66,3,2, Manufacturing Director ,2,Unknown,7693,4,False,0.21,4,3,0,11,3,3,5,1,0,1984,True,B
1664,36,36-45,False,Travel Rarely,1040,Research & Development,11,2,Life Sciences,2,M,79,4,2, Healthcare Representative ,1,Divorced,26308,6,False,0.2,4,1,1,13,3,3,5,0,4,1987,True,B
1684,23,18-25,True,Travel Rarely,1320,Research & Development,8,1,Medical,4,M,93,2,1, Laboratory Technician ,3,Single,20586,1,Unknown,0.11,3,1,0,5,2,3,5,1,2,2000,True,A
1704,35,26-35,False,Unknown,146,Research & Development,2,4,Unknown,1,M,79,2,1, Research Scientist ,4,Unknown,13970,0,True,0.14,3,3,0,6,2,4,5,1,4,1988,True,A
1736,31,26-35,False,Travel Frequently,163,Research & Development,24,1,Technical Degree,4,F,30,3,2, Manufacturing Director ,4,Single,6670,2,Unknown,0.2,4,4,0,9,3,2,5,1,4,1992,True,A
1782,38,36-45,False,Travel Rarely,1153,Research & Development,6,2,Other,4,F,40,2,1, Laboratory Technician ,3,Married,16376,1,False,0.11,3,2,1,5,3,3,5,0,4,1985,True,A
1826,35,26-35,False,Unknown,185,Research & Development,23,4,Medical,2,M,91,1,1, Laboratory Technician ,3,Married,9696,0,Unknown,0.16,3,2,1,6,2,4,5,0,3,1988,True,A
2219,40,36-45,False,Unknown,750,Research & Development,12,3,Unknown,2,F,47,3,2, Healthcare Representative ,1,Unknown,10748,2,Unknown,0.12,3,2,1,15,3,3,7,7,7,1983,True,B
1850,27,26-35,False,Travel Frequently,1297,Research & Development,48,2,Unknown,4,F,99999,3,1, Laboratory Technician ,4,Single,19826,0,True,0.14,3,3,0,6,3,2,5,0,2,1996,True,A
1909,41,36-45,False,Unknown,337,Sales,8,3,Unknown,3,F,54,3,2, Sales Executive ,2,Unknown,26841,5,False,0.21,4,3,1,14,3,3,5,1,4,1982,True,B
1924,33,26-35,False,Travel Rarely,217,Sales,15,4,Marketing,2,M,43,3,2, Sales Executive ,3,Single,10410,1,False,0.14,3,2,0,11,2,2,10,0,9,1990,False,A
1941,49,46-55,False,Unknown,1064,Research & Development,2,1,Life Sciences,2,M,42,3,5, Research Director ,4,Married,13738,3,False,0.15,3,4,0,28,3,3,5,4,3,1974,False,A
1949,36,36-45,False,Non Travel,1351,Research & Development,9,4,Unknown,1,M,66,4,1, Laboratory Technician ,2,Unknown,9238,1,False,0.22,4,2,0,5,3,3,5,0,2,1987,True,B
2220,41,36-45,False,Unknown,930,Sales,3,3,Life Sciences,3,M,57,2,2, Sales Executive ,2,Divorced,12227,2,Unknown,0.11,3,3,1,14,5,3,5,0,4,1982,False,B
2221,29,26-35,False,Unknown,468,Research & Development,41,4,Medical,4,F,73,2,1, Research Scientist ,1,Single,8489,1,False,0.14,3,2,0,5,3,1,5,0,4,1994,True,B
2222,31,26-35,False,Non Travel,99999,Research & Development,5,3,Medical,2,M,74,3,2, Manufacturing Director ,1,Unknown,3787,0,False,0.19,3,2,0,10,2,3,9,1,7,1992,True,B
27,36,36-45,True,Travel Rarely,1218,Unknown,9,4,Life Sciences,3,M,82,2,1, Sales Representative ,1,Single,6986,7,False,0.23,4,2,0,11,4,3,5,0,3,1987,False,B
46,43,36-45,False,Travel Rarely,1273,Research & Development,2,2,Medical,4,F,72,4,1, Research Scientist ,3,Unknown,21923,1,False,0.12,3,4,2,6,3,2,5,1,4,1980,False,A
52,33,26-35,False,Travel Frequently,1141,Sales,18,3,Life Sciences,2,F,42,4,2, Sales Executive ,1,Married,3193,2,False,0.19,3,1,2,11,3,3,5,1,3,1990,False,B
68,44,36-45,False,Unknown,1488,Sales,1,5,Marketing,2,F,75,3,2, Sales Executive ,1,Unknown,4009,5,Unknown,0.21,4,3,1,9,2,2,4,1,3,1979,False,B
79,38,36-45,False,Unknown,653,Research & Development,29,5,Life Sciences,4,F,50,3,2, Laboratory Technician ,4,Single,5456,1,False,0.11,3,4,0,10,2,3,10,9,9,1985,True,A
80,50,46-55,False,Unknown,989,Research & Development,7,2,Medical,2,F,43,2,5, Research Director ,3,Divorced,16701,5,Unknown,0.12,3,4,1,11,2,2,27,13,8,1973,False,A
91,59,56-65,False,Travel Frequently,1225,Sales,1,1,Unknown,1,F,57,2,2, Sales Executive ,3,Single,24668,7,False,0.11,3,4,0,20,2,2,4,1,3,1964,False,A
119,40,36-45,False,Travel Frequently,530,Research & Development,1,4,Life Sciences,3,M,78,2,4, Healthcare Representative ,2,Married,14115,1,False,0.22,4,4,1,22,3,2,22,11,11,1983,False,B
126,54,46-55,False,Travel Rarely,1217,Research & Development,2,4,Technical Degree,1,F,60,3,3, Research Director ,3,Unknown,24001,9,False,0.12,3,1,1,16,5,1,4,0,3,1969,False,A
2223,50,46-55,False,Unknown,99999,Research & Development,47,3,Unknown,1,F,73,3,5, Research Director ,2,Unknown,9755,3,True,0.19,3,1,0,28,1,2,8,0,7,1973,True,B
148,54,46-55,False,Non Travel,142,Unknown,26,3,Unknown,4,F,99999,4,4, Manager ,4,Single,13871,2,Unknown,0.12,3,3,0,11,3,3,5,4,4,1969,True,A
150,24,18-25,False,Unknown,1127,Research & Development,18,1,Life Sciences,2,M,52,3,1, Laboratory Technician ,3,Married,13257,0,False,0.12,3,3,1,11,2,3,5,1,2,1999,True,A
2224,37,36-45,False,Travel Rarely,1189,Sales,3,3,Life Sciences,3,M,87,3,3, Sales Executive ,4,Unknown,14506,2,False,0.12,3,1,0,11,3,3,5,1,3,1986,True,A
198,30,26-35,False,Travel Rarely,1427,Research & Development,2,1,Unknown,2,M,35,2,1, Laboratory Technician ,4,Single,11162,0,False,0.13,3,4,0,6,3,3,5,1,2,1993,True,A
216,34,26-35,False,Travel Frequently,303,Unknown,10,4,Unknown,2,F,75,3,1, Sales Representative ,3,Unknown,11314,6,False,0.18,3,4,1,11,3,3,4,1,2,1989,False,A
2225,57,56-65,False,Travel Rarely,334,Research & Development,24,2,Unknown,3,M,83,4,3, Healthcare Representative ,4,Divorced,23402,3,Unknown,0.16,3,2,1,12,2,1,5,1,4,1966,True,A
230,38,36-45,False,Travel Rarely,702,Sales,1,4,Life Sciences,1,F,99999,2,2, Sales Executive ,4,Single,12930,4,Unknown,0.22,3,3,0,12,2,4,8,0,7,1985,False,A
2226,41,36-45,True,Travel Rarely,99999,Unknown,20,2,Marketing,2,F,70,3,1, Sales Representative ,2,Unknown,21728,1,True,0.22,4,4,0,4,5,2,4,0,2,1982,True,B
270,42,36-45,False,Unknown,926,Research & Development,21,2,Unknown,3,F,36,3,2, Manufacturing Director ,3,Divorced,16439,2,Unknown,0.16,3,2,1,11,5,3,5,0,2,1981,False,A
277,34,26-35,False,Unknown,878,Research & Development,10,4,Unknown,4,M,43,3,1, Research Scientist ,3,Divorced,5972,1,True,0.17,3,4,1,11,4,4,5,2,0,1989,True,A
299,30,26-35,True,Unknown,334,Sales,26,4,Unknown,3,F,52,2,2, Sales Executive ,1,Unknown,22967,5,Unknown,0.15,3,3,0,9,5,2,6,0,1,1993,True,B
315,29,26-35,True,Travel Rarely,896,Research & Development,13,1,Medical,2,M,86,2,1, Research Scientist ,4,Single,14961,1,Unknown,0.13,3,3,0,4,3,3,4,0,1,1994,True,A
330,32,26-35,False,Unknown,1401,Unknown,4,2,Unknown,3,F,56,3,1, Sales Representative ,2,Married,20990,2,False,0.11,3,1,1,11,5,3,4,1,2,1991,False,B
369,25,18-25,False,Unknown,675,Research & Development,5,2,Life Sciences,2,M,85,4,2, Healthcare Representative ,1,Unknown,18384,1,False,0.12,3,4,2,6,2,3,6,1,5,1998,True,B
386,53,46-55,False,Unknown,1070,Research & Development,3,4,Unknown,3,M,45,3,4, Research Director ,3,Married,21016,3,True,0.16,3,4,3,21,5,2,5,1,3,1970,True,A
390,26,26-35,False,Unknown,496,Research & Development,11,2,Medical,1,M,60,3,2, Healthcare Representative ,1,Married,22722,1,Unknown,0.13,3,3,1,5,3,3,5,3,3,1997,True,B
2227,28,26-35,False,Unknown,1117,Research & Development,8,2,Unknown,4,F,66,3,1, Research Scientist ,4,Unknown,4488,1,False,0.21,4,4,0,11,3,3,5,0,2,1995,True,A
412,28,26-35,False,Travel Rarely,1476,Research & Development,16,2,Medical,2,M,68,4,2, Healthcare Representative ,1,Single,4824,0,Unknown,0.19,3,3,0,9,2,3,8,0,7,1995,True,B
422,58,56-65,False,Unknown,390,Research & Development,1,4,Life Sciences,4,M,32,1,2, Healthcare Representative ,3,Divorced,17056,2,True,0.13,3,4,1,11,2,3,5,1,2,1965,True,A
434,27,26-35,False,Travel Rarely,1220,Research & Development,5,3,Unknown,3,F,85,3,1, Research Scientist ,2,Single,20938,1,Unknown,0.12,3,2,0,4,2,3,4,1,2,1996,True,B
450,54,46-55,False,Travel Frequently,928,Research & Development,20,4,Life Sciences,4,F,31,3,2, Research Scientist ,3,Unknown,16885,3,Unknown,0.12,3,4,0,20,4,2,4,0,3,1969,False,A
2228,40,36-45,False,Travel Rarely,1124,Sales,45,2,Unknown,4,M,57,1,2, Sales Executive ,4,Married,13273,2,Unknown,0.22,4,3,3,11,2,2,4,0,2,1983,True,A
469,29,26-35,False,Non Travel,746,Sales,2,3,Life Sciences,4,M,61,3,2, Sales Executive ,3,Unknown,16928,1,Unknown,0.14,3,1,1,11,3,2,4,0,2,1994,True,A
491,50,46-55,False,Travel Rarely,1046,Research & Development,10,3,Unknown,4,M,100,2,3, Healthcare Representative ,4,Unknown,2755,6,False,0.15,3,4,0,20,2,3,4,1,3,1973,False,A
554,24,18-25,True,Travel Rarely,1448,Unknown,1,1,Technical Degree,1,F,62,3,1, Sales Representative ,2,Single,21972,1,True,0.16,3,2,0,6,4,3,5,1,4,1999,True,B
2229,30,26-35,False,Unknown,1400,Research & Development,37,3,Unknown,4,M,53,3,1, Laboratory Technician ,4,Married,16734,4,Unknown,0.15,3,3,1,9,3,1,5,1,4,1993,False,A
579,34,26-35,False,Unknown,1303,Research & Development,2,4,Unknown,4,M,62,2,1, Research Scientist ,3,Unknown,8416,3,Unknown,0.12,3,3,1,14,3,3,7,5,7,1989,True,A
2230,33,26-35,True,Travel Rarely,587,Research & Development,10,1,Unknown,1,M,38,1,1, Laboratory Technician ,4,Divorced,6705,7,False,0.13,3,1,3,8,2,3,4,1,3,1990,False,A
592,36,36-45,False,Non Travel,635,Sales,30,4,Medical,2,M,32,3,3, Sales Executive ,4,Single,15318,1,Unknown,0.14,3,4,0,11,3,2,10,9,7,1987,True,A
599,41,36-45,False,Non Travel,267,Sales,10,2,Unknown,4,M,99999,3,2, Sales Executive ,4,Single,13430,7,False,0.14,3,4,0,11,3,3,14,1,10,1982,True,A
2231,39,36-45,False,Travel Frequently,443,Research & Development,8,1,Unknown,3,F,48,3,1, Laboratory Technician ,3,Married,17872,1,False,0.11,3,1,1,11,3,3,8,0,7,1984,True,A
641,26,26-35,False,Travel Rarely,703,Sales,28,2,Marketing,1,M,66,3,2, Sales Executive ,2,Married,7428,1,Unknown,0.2,4,4,2,11,5,4,5,1,4,1997,True,B
2232,24,18-25,True,Travel Frequently,1287,Research & Development,7,3,Unknown,1,F,55,3,1, Laboratory Technician ,3,Unknown,14168,1,Unknown,0.16,3,4,1,6,4,3,6,1,2,1999,True,A
655,27,26-35,False,Unknown,798,Research & Development,6,4,Unknown,1,F,66,2,1, Research Scientist ,3,Divorced,5013,0,False,0.12,3,3,2,6,5,2,5,0,3,1996,True,A
667,27,26-35,True,Travel Rarely,1420,Unknown,2,1,Marketing,3,M,85,3,1, Sales Representative ,1,Divorced,16346,0,False,0.11,3,2,1,5,3,3,4,0,2,1996,True,B
2233,50,46-55,True,Unknown,562,Sales,8,2,Technical Degree,2,M,50,3,2, Sales Executive ,3,Married,23452,3,Unknown,0.14,3,1,1,18,4,3,4,1,3,1973,False,A
758,23,18-25,False,Travel Rarely,650,Research & Development,49,1,Unknown,2,M,37,3,1, Laboratory Technician ,1,Unknown,4344,1,False,0.14,3,4,1,5,2,4,4,0,2,2000,True,B
760,39,36-45,False,Travel Rarely,141,Unknown,24,3,Unknown,3,F,44,4,2, Human Resources ,2,Unknown,18767,9,Unknown,0.15,3,3,1,11,3,1,8,3,6,1984,False,B
791,52,46-55,False,Non Travel,715,Research & Development,19,4,Medical,4,M,41,3,1, Research Scientist ,4,Unknown,26589,0,False,0.18,3,1,1,11,3,3,4,1,2,1971,True,A
796,26,26-35,True,Unknown,99999,Sales,8,3,Unknown,4,M,99999,2,2, Sales Executive ,1,Single,3064,6,False,0.17,3,3,0,11,2,2,4,1,2,1997,True,B
799,54,46-55,False,Unknown,376,Research & Development,19,4,Unknown,4,F,99999,3,2, Manufacturing Director ,1,Divorced,22670,9,True,0.11,3,2,2,11,4,3,5,1,4,1969,True,B
2234,37,36-45,False,Travel Rarely,571,Research & Development,10,1,Life Sciences,4,F,82,3,1, Research Scientist ,1,Divorced,19905,0,True,0.13,3,2,2,11,3,2,5,4,3,1986,False,B
815,50,46-55,False,Travel Rarely,691,Research & Development,2,3,Unknown,3,M,64,3,4, Research Director ,3,Unknown,6881,5,Unknown,0.16,3,4,0,11,3,3,4,0,3,1973,False,A
827,42,36-45,False,Unknown,932,Research & Development,1,2,Life Sciences,4,F,43,2,2, Manufacturing Director ,4,Married,4051,9,Unknown,0.13,3,4,1,8,4,3,4,0,2,1981,False,A
2235,38,36-45,False,Travel Frequently,471,Research & Development,12,3,Unknown,1,M,45,2,2, Healthcare Representative ,1,Unknown,4284,2,Unknown,0.15,3,3,1,11,3,2,4,1,2,1985,False,B
2236,25,18-25,False,Travel Rarely,180,Research & Development,2,1,Medical,1,M,65,4,1, Research Scientist ,1,Single,21632,7,False,0.13,3,3,0,11,3,2,4,0,1,1998,False,B
865,32,26-35,False,Unknown,638,Research & Development,8,2,Unknown,3,F,91,4,2, Research Scientist ,3,Married,22162,5,Unknown,0.12,3,3,1,9,3,2,5,1,3,1991,True,A
2237,25,18-25,False,Unknown,141,Sales,3,1,Unknown,3,M,98,3,2, Sales Executive ,1,Unknown,14363,1,True,0.18,3,4,0,5,3,3,5,0,3,1998,True,B
894,42,36-45,False,Unknown,1265,Research & Development,3,3,Unknown,3,F,95,4,2, Laboratory Technician ,4,Married,23726,2,True,0.13,3,2,1,17,1,2,5,1,3,1981,True,A
2238,33,26-35,False,Unknown,1075,Unknown,3,2,Human Resources,4,M,57,3,1, Human Resources ,2,Divorced,22650,3,True,0.11,3,3,1,11,4,4,4,0,3,1990,False,B
2239,29,26-35,False,Travel Rarely,1086,Research & Development,7,1,Medical,1,F,62,2,1, Laboratory Technician ,4,Unknown,6054,6,False,0.14,3,3,3,8,5,3,4,0,3,1994,False,A
983,38,36-45,False,Non Travel,152,Sales,10,3,Unknown,3,F,85,3,2, Sales Executive ,4,Unknown,19899,1,True,0.13,3,2,0,6,1,3,5,1,3,1985,True,A
996,45,36-45,False,Travel Rarely,974,Research & Development,1,4,Unknown,4,F,91,3,1, Laboratory Technician ,4,Divorced,11005,3,False,0.14,3,4,2,8,2,3,5,0,2,1978,False,A
1011,31,26-35,False,Travel Frequently,853,Research & Development,1,1,Unknown,3,F,99999,3,2, Manufacturing Director ,1,Unknown,11275,1,False,0.12,3,3,1,4,1,3,4,0,3,1992,False,B
1019,22,18-25,False,Unknown,217,Research & Development,8,1,Life Sciences,2,M,94,1,1, Laboratory Technician ,1,Unknown,6881,1,Unknown,0.15,3,1,1,4,3,2,4,1,1,2001,True,B
1032,59,56-65,False,Travel Rarely,715,Research & Development,2,3,Unknown,3,F,69,2,4, Manufacturing Director ,4,Unknown,21829,3,Unknown,0.13,3,1,0,11,4,3,5,4,3,1964,False,A
1045,45,36-45,False,Unknown,1234,Sales,11,2,Unknown,4,F,90,3,4, Manager ,4,Married,5404,3,False,0.13,3,2,1,26,4,4,9,1,1,1978,False,A
1049,45,36-45,False,Travel Rarely,788,Unknown,24,4,Unknown,2,M,36,3,1, Human Resources ,2,Unknown,8318,1,False,0.16,3,1,0,11,3,3,6,0,4,1978,True,B
2240,37,36-45,False,Travel Rarely,124,Research & Development,3,3,Unknown,4,F,35,3,2, Healthcare Representative ,2,Unknown,13848,3,False,0.15,3,1,0,8,3,2,4,0,1,1986,True,B
1068,26,26-35,False,Unknown,921,Research & Development,26,1,Medical,1,F,66,2,1, Research Scientist ,3,Unknown,25265,1,False,0.13,3,3,2,11,5,3,5,1,3,1997,False,A
2241,26,26-35,False,Unknown,192,Research & Development,1,2,Medical,1,M,59,2,1, Laboratory Technician ,1,Married,11141,1,False,0.16,3,1,2,6,2,3,5,1,3,1997,True,B
1136,28,26-35,False,Unknown,99999,Research & Development,42,1,Unknown,4,M,67,2,1, Research Scientist ,2,Married,19911,0,False,0.17,3,1,0,11,2,1,5,0,4,1995,True,B
2242,24,18-25,False,Unknown,477,Research & Development,24,3,Medical,4,M,49,3,1, Laboratory Technician ,2,Single,6409,8,False,0.22,4,4,0,6,2,3,4,1,2,1999,False,B
1179,30,26-35,False,Travel Rarely,852,Sales,10,3,Marketing,3,M,72,2,2, Sales Executive ,3,Married,2706,1,False,0.18,3,1,1,11,3,3,10,1,4,1993,False,A
1188,43,36-45,True,Unknown,1372,Sales,9,3,Unknown,1,F,85,1,2, Sales Executive ,3,Single,9489,8,False,0.13,3,2,0,7,2,2,4,1,3,1980,True,A
1211,30,26-35,False,Travel Rarely,1329,Sales,29,4,Life Sciences,3,M,61,3,2, Sales Executive ,1,Divorced,13192,8,Unknown,0.19,3,3,3,8,3,3,4,0,3,1993,False,B
1228,46,46-55,False,Travel Rarely,150,Research & Development,2,4,Technical Degree,4,M,60,3,2, Manufacturing Director ,4,Divorced,17433,2,Unknown,0.11,3,3,1,11,3,2,6,1,4,1977,True,A
1231,42,36-45,False,Non Travel,99999,Human Resources,2,5,Unknown,4,M,79,4,2, Human Resources ,1,Married,12858,7,False,0.16,3,1,1,11,3,4,4,0,3,1981,True,B
2243,25,18-25,False,Unknown,99999,Sales,10,4,Life Sciences,3,M,57,3,2, Sales Executive ,4,Single,20623,0,False,0.14,3,2,0,5,4,3,4,1,1,1998,False,A
1259,27,26-35,False,Unknown,1167,Research & Development,4,2,Unknown,1,M,76,3,1, Research Scientist ,3,Divorced,3208,1,Unknown,0.11,3,2,3,11,2,3,5,0,3,1996,True,A
1338,56,56-65,False,Travel Rarely,206,Unknown,8,4,Life Sciences,4,M,99,3,5, Manager ,2,Single,4022,6,False,0.14,3,1,0,36,4,3,7,7,7,1967,False,B
1349,41,36-45,False,Travel Frequently,99999,Sales,1,3,Marketing,3,F,66,3,2, Sales Executive ,1,Unknown,4297,0,Unknown,0.17,3,4,1,11,2,3,9,1,7,1982,True,B
1387,28,26-35,False,Unknown,736,Sales,26,3,Life Sciences,3,M,48,2,2, Sales Executive ,1,Married,24232,1,Unknown,0.11,3,3,1,5,0,3,5,0,4,1995,True,B
1401,52,46-55,False,Travel Frequently,322,Research & Development,28,2,Unknown,4,F,59,4,4, Manufacturing Director ,3,Married,9731,2,Unknown,0.11,3,2,1,11,3,2,5,0,2,1971,True,A
1407,26,26-35,False,Travel Rarely,683,Research & Development,2,1,Medical,1,M,36,2,1, Research Scientist ,4,Single,4050,0,False,0.12,3,4,0,5,2,3,4,1,1,1997,True,A
1420,49,46-55,True,Travel Frequently,1475,Research & Development,28,2,Unknown,1,M,97,2,2, Laboratory Technician ,1,Unknown,22710,3,False,0.2,4,1,0,20,2,3,4,1,3,1974,True,B
1431,34,26-35,False,Travel Frequently,560,Research & Development,1,4,Other,4,M,91,3,1, Research Scientist ,1,Unknown,20284,5,Unknown,0.14,3,3,2,10,2,3,4,1,3,1989,True,B
1446,32,26-35,False,Unknown,99999,Sales,7,5,Marketing,4,M,97,3,2, Sales Executive ,4,Unknown,23343,4,Unknown,0.12,3,3,1,7,3,3,4,0,3,1991,True,A
1477,33,26-35,False,Unknown,99999,Sales,7,3,Medical,4,M,54,3,2, Sales Executive ,1,Unknown,17456,0,False,0.14,3,1,2,5,2,3,4,0,3,1990,False,B
1487,29,26-35,True,Unknown,115,Sales,13,3,Unknown,1,F,51,3,2, Sales Executive ,2,Single,17485,5,False,0.11,3,1,0,7,4,1,5,0,0,1994,False,B
1499,30,26-35,False,Unknown,99999,Unknown,16,3,Life Sciences,3,M,46,3,1, Human Resources ,3,Unknown,15428,0,Unknown,0.21,4,1,1,6,3,4,5,1,3,1993,False,A
1533,23,18-25,False,Unknown,507,Research & Development,11,1,Life Sciences,2,M,97,3,2, Laboratory Technician ,3,Single,24812,0,False,0.14,3,2,0,5,2,3,4,1,2,2000,False,A
1545,33,26-35,False,Unknown,575,Research & Development,25,3,Unknown,4,M,44,2,2, Manufacturing Director ,2,Unknown,24152,1,False,0.13,3,4,0,5,2,3,5,0,2,1990,True,B
1554,35,26-35,False,Unknown,99999,Unknown,28,4,Unknown,2,F,98,2,1, Sales Representative ,3,Married,26204,0,Unknown,0.23,4,1,2,6,5,3,5,4,2,1988,True,A
1563,38,36-45,False,Travel Frequently,888,Unknown,10,4,Unknown,3,M,71,3,2, Human Resources ,3,Unknown,14814,3,False,0.11,3,3,0,10,2,3,6,1,2,1985,True,A
1622,28,26-35,False,Unknown,580,Research & Development,27,3,Unknown,2,F,39,1,2, Manufacturing Director ,1,Divorced,20460,0,Unknown,0.21,4,2,1,6,5,2,5,0,0,1995,True,B
1631,37,36-45,False,Unknown,671,Research & Development,19,3,Life Sciences,3,M,85,3,2, Manufacturing Director ,3,Unknown,26493,3,False,0.17,3,1,3,11,2,2,4,0,2,1986,False,A
1646,24,18-25,False,Unknown,567,Research & Development,2,1,Technical Degree,1,F,32,3,1, Research Scientist ,4,Unknown,17218,1,Unknown,0.13,3,3,0,6,2,3,6,1,3,1999,False,A
